rouge_1_r,rouge_2_r,rouge_3_r,rouge_4_r,rouge_l_r,rouge_1_p,rouge_2_p,rouge_3_p,rouge_4_p,rouge_l_p,rouge_1_f1,rouge_2_f1,rouge_3_f1,rouge_4_f1,rouge_l_f1
93.75,66.667,42.857,30.769000000000002,81.25,93.75,66.667,42.857,30.769000000000002,81.25,93.75,66.667,42.857,30.769000000000002,81.25
69.565,45.455,28.571,20.0,69.565,64.0,41.667,26.087,18.182000000000002,64.0,66.667,43.479,27.272999999999996,19.048000000000002,66.667
58.333,30.435000000000002,22.727,19.048000000000002,54.167,58.333,30.435000000000002,22.727,19.048000000000002,54.167,58.333,30.435000000000002,22.727,19.048000000000002,54.167
65.385,40.0,25.0,13.043,65.385,65.385,40.0,25.0,13.043,65.385,65.385,40.0,25.0,13.043,65.385
47.368,5.556,0.0,0.0,31.579,50.0,5.882,0.0,0.0,33.333,48.648,5.714,0.0,0.0,32.432
60.0,44.828,28.571,18.519,60.0,90.0,68.42099999999999,44.444,29.412,90.0,72.0,54.167,34.782000000000004,22.728,72.0
66.667,40.0,25.0,0.0,66.667,40.0,22.222,12.5,0.0,40.0,50.0,28.571,16.667,0.0,50.0
75.0,26.667,14.285999999999998,7.692,62.5,60.0,21.053,11.111,5.882,50.0,66.667,23.53,12.5,6.6659999999999995,55.556000000000004
91.667,90.90899999999999,90.0,88.889,91.667,91.667,90.90899999999999,90.0,88.889,91.667,91.667,90.90899999999999,90.0,88.889,91.667
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
71.429,33.333,0.0,0.0,71.429,62.5,28.571,0.0,0.0,62.5,66.667,30.769000000000002,0.0,0.0,66.667
72.414,50.0,33.333,19.231,72.414,67.742,46.666999999999994,31.034,17.857,67.742,70.0,48.276,32.141999999999996,18.519,70.0
83.333,36.364000000000004,30.0,22.222,75.0,76.923,33.333,27.272999999999996,20.0,69.231,80.0,34.782999999999994,28.571999999999996,21.053,72.0
50.0,28.571,0.0,0.0,50.0,80.0,50.0,0.0,0.0,80.0,61.538000000000004,36.363,0.0,0.0,61.538000000000004
70.833,34.782999999999994,22.727,9.524000000000001,66.667,70.833,34.782999999999994,22.727,9.524000000000001,66.667,70.833,34.782999999999994,22.727,9.524000000000001,66.667
61.905,30.0,10.526,5.556,57.143,61.905,30.0,10.526,5.556,57.143,61.905,30.0,10.526,5.556,57.143
75.0,45.455,30.0,22.222,75.0,64.286,38.462,25.0,18.182000000000002,64.286,69.231,41.667,27.272999999999996,20.0,69.231
72.222,52.941,37.5,26.667,72.222,61.905,45.0,31.579,22.222,61.905,66.667,48.649,34.286,24.242,66.667
85.714,66.667,60.0,50.0,85.714,85.714,66.667,60.0,50.0,85.714,85.714,66.667,60.0,50.0,85.714
72.0,45.833,26.087,13.636000000000001,64.0,62.068999999999996,39.286,22.222,11.538,55.172,66.667,42.308,24.0,12.5,59.25899999999999
80.952,55.00000000000001,42.105,33.333,80.952,73.913,50.0,38.095,30.0,73.913,77.273,52.381,40.0,31.579,77.273
66.667,38.462,28.000000000000004,16.667,66.667,66.667,38.462,28.000000000000004,16.667,66.667,66.667,38.462,28.000000000000004,16.667,66.667
83.333,60.0,50.0,33.333,83.333,71.429,50.0,40.0,25.0,71.429,76.923,54.545,44.444,28.571,76.923
41.667,4.348,0.0,0.0,25.0,38.462,4.0,0.0,0.0,23.077,40.0,4.167,0.0,0.0,24.0
67.391,26.667,13.636000000000001,9.302000000000001,50.0,67.391,26.667,13.636000000000001,9.302000000000001,50.0,67.391,26.667,13.636000000000001,9.302000000000001,50.0
50.0,20.0,0.0,0.0,50.0,60.0,25.0,0.0,0.0,60.0,54.545,22.222,0.0,0.0,54.545
50.0,33.333,14.285999999999998,7.692,50.0,61.538000000000004,41.667,18.182000000000002,10.0,61.538000000000004,55.172,37.037,16.0,8.695,55.172
66.667,25.0,0.0,0.0,66.667,66.667,25.0,0.0,0.0,66.667,66.667,25.0,0.0,0.0,66.667
47.945,19.444,7.042,1.429,43.836000000000006,53.03,21.538,7.811999999999999,1.587,48.485,50.358999999999995,20.438000000000002,7.407,1.504,46.043
54.545,20.0,0.0,0.0,54.545,60.0,22.222,0.0,0.0,60.0,57.143,21.053,0.0,0.0,57.143
82.609,59.09100000000001,42.857,30.0,78.261,82.609,59.09100000000001,42.857,30.0,78.261,82.609,59.09100000000001,42.857,30.0,78.261
69.231,44.0,29.166999999999998,17.391000000000002,69.231,69.231,44.0,29.166999999999998,17.391000000000002,69.231,69.231,44.0,29.166999999999998,17.391000000000002,69.231
40.0,25.0,0.0,0.0,40.0,40.0,25.0,0.0,0.0,40.0,40.0,25.0,0.0,0.0,40.0
67.857,25.926,11.538,4.0,50.0,79.167,30.435000000000002,13.636000000000001,4.7620000000000005,58.333,73.077,28.000000000000004,12.5,4.348,53.846000000000004
66.667,35.294,31.25,26.667,61.111000000000004,63.158,33.333,29.412,25.0,57.894999999999996,64.865,34.285,30.303,25.807000000000002,59.46
33.333,0.0,0.0,0.0,33.333,30.769000000000002,0.0,0.0,0.0,30.769000000000002,32.0,0.0,0.0,0.0,32.0
80.0,50.0,33.333,0.0,80.0,57.143,33.333,20.0,0.0,57.143,66.667,40.0,25.0,0.0,66.667
75.0,43.478,22.727,9.524000000000001,54.167,94.73700000000001,55.556000000000004,29.412,12.5,68.42099999999999,83.721,48.78,25.641000000000002,10.811,60.465
50.0,0.0,0.0,0.0,50.0,66.667,0.0,0.0,0.0,66.667,57.143,0.0,0.0,0.0,57.143
80.952,60.0,47.368,33.333,76.19,80.952,60.0,47.368,33.333,76.19,80.952,60.0,47.368,33.333,76.19
42.308,20.0,8.333,0.0,38.462,55.00000000000001,26.316,11.111,0.0,50.0,47.826,22.727,9.524000000000001,0.0,43.479
66.667,36.364000000000004,20.0,11.111,58.333,66.667,36.364000000000004,20.0,11.111,58.333,66.667,36.364000000000004,20.0,11.111,58.333
75.0,21.053,5.556,0.0,45.0,65.217,18.182000000000002,4.7620000000000005,0.0,39.129999999999995,69.767,19.512,5.128,0.0,41.86
45.455,40.0,33.333,25.0,45.455,62.5,57.143,50.0,40.0,62.5,52.632,47.059,40.0,30.769000000000002,52.632
56.098000000000006,12.5,2.564,0.0,48.78,47.917,10.638,2.174,0.0,41.667,51.686,11.494,2.3529999999999998,0.0,44.944
50.0,13.043,4.545,0.0,37.5,66.667,17.647,6.25,0.0,50.0,57.143,15.0,5.263,0.0,42.857
92.857,61.538000000000004,41.667,18.182000000000002,85.714,76.471,50.0,33.333,14.285999999999998,70.588,83.871,55.172,37.037,16.0,77.41900000000001
68.75,33.333,21.429000000000002,15.384999999999998,62.5,57.894999999999996,27.778000000000002,17.647,12.5,52.632,62.857,30.303,19.355,13.793,57.143
66.667,35.714,23.077,16.667,60.0,76.923,41.667,27.272999999999996,20.0,69.231,71.429,38.462,25.0,18.182000000000002,64.286
53.846000000000004,28.000000000000004,12.5,4.348,53.846000000000004,66.667,35.0,15.789,5.556,66.667,59.575,31.111,13.953,4.878,59.575
79.167,63.83,52.174,42.222,77.083,88.372,71.429,58.53699999999999,47.5,86.047,83.517,67.416,55.173,44.706,81.319
66.667,37.5,28.571,16.667,66.667,66.667,37.5,28.571,16.667,66.667,66.667,37.5,28.571,16.667,66.667
72.0,41.667,21.739,13.636000000000001,72.0,58.065,33.333,17.241,10.714,58.065,64.286,37.037,19.23,12.0,64.286
50.0,28.000000000000004,16.667,4.348,50.0,46.428999999999995,25.926,15.384999999999998,4.0,46.428999999999995,48.148,26.923000000000002,16.0,4.167,48.148
