Ins,Del,Sub,Stem,Syn,Phrase,Shft,WdSh,NumEr,NumWd,TERp
3,2,0,0,0,0,0,0,3.63,17,21.355
2,1,4,0,0,2,0,0,8.705,29,30.017
3,5,3,0,0,1,1,2,13.755,23,59.804
5,2,7,1,1,1,0,0,16.339,29,56.341
5,5,6,0,0,1,1,1,18.871,21,89.86
0,10,2,0,0,0,0,0,17.382,34,51.125
6,0,1,0,0,1,0,0,3.389,7,48.41
7,2,3,1,0,1,1,1,10.253,18,56.963
2,0,1,0,0,0,0,0,2.074,13,15.956
0,0,0,0,0,0,0,0,0.0,6,0.0
2,1,0,0,1,0,0,0,1.945,8,24.308
3,1,6,0,0,1,0,0,12.261,34,36.063
3,1,1,0,0,0,1,1,4.322,13,33.247
0,3,1,0,0,0,0,0,5.837,9,64.86
5,2,5,0,0,1,1,1,13.105,23,56.977
2,2,4,0,2,1,1,1,10.16,22,46.181
2,0,1,0,0,2,0,0,2.074,13,15.956
3,0,4,1,0,1,0,0,7.168,21,34.135
0,0,0,1,0,1,0,0,0.491,7,7.009
5,2,6,0,1,0,2,2,14.612,29,50.385
3,0,2,1,0,2,0,0,4.132,25,16.526
1,1,2,0,2,3,0,0,6.246,29,21.537
1,0,0,0,0,1,0,0,0.718,7,10.261
10,11,8,1,0,0,2,2,31.861,28,100.0
6,5,12,1,2,2,1,1,28.904,46,62.834
0,1,1,0,1,0,0,0,2.983,7,42.621
0,5,5,1,0,0,0,0,14.917,18,82.875
2,2,1,0,1,0,0,0,4.928,11,44.801
17,21,26,3,0,1,1,1,75.67,80,94.588
2,3,1,0,1,1,0,0,6.895,12,57.46
3,1,2,0,0,1,1,1,6.045,26,23.251
2,1,6,0,0,1,0,0,11.284,30,37.613
0,0,2,0,0,1,0,0,3.117,6,51.958
3,5,3,0,0,2,4,5,15.362,30,51.206
4,3,2,0,0,2,0,0,9.656,19,50.819
5,3,4,0,0,0,0,0,11.801,12,98.344
2,0,0,0,1,0,0,0,0.518,6,8.628
0,5,1,0,0,0,2,5,9.815,25,39.261
0,1,0,0,1,0,0,0,1.427,4,35.673
1,1,3,0,1,0,1,1,6.917,28,24.705
4,11,6,0,1,0,1,1,26.633,30,88.777
3,3,0,0,1,0,1,1,5.619,14,40.139
3,1,5,0,1,1,4,6,12.771,22,58.052
0,3,3,0,0,0,0,0,8.95,12,74.587
15,6,11,2,2,2,2,2,31.13,41,75.926
3,10,4,1,0,0,2,2,22.396,30,74.654
3,0,1,0,0,0,1,1,2.895,16,18.095
3,2,7,1,0,0,0,0,14.526,21,69.173
1,2,3,0,0,0,1,1,8.344,16,52.153
4,7,4,0,0,0,1,1,17.812,26,68.509
1,5,5,0,0,1,0,0,15.58,54,28.851
2,0,3,0,1,0,0,0,5.187,11,47.158
10,4,5,0,2,1,0,0,16.245,28,58.017
5,5,7,0,3,1,1,1,20.323,32,63.511
5,4,5,0,3,3,3,3,17.344,27,64.238
0,5,1,0,0,2,1,1,10.256,26,39.447
8,4,10,1,2,3,1,1,24.479,33,74.178
0,3,4,0,0,0,0,0,10.507,10,100.0
3,0,2,0,0,0,0,0,3.89,8,48.621
1,0,1,0,0,0,0,0,1.815,12,15.128
3,2,3,1,4,1,0,0,8.889,24,37.038
6,1,3,0,0,3,0,0,8.925,12,74.371
4,5,0,0,0,0,1,1,8.732,22,39.692
5,3,3,0,0,0,0,0,10.245,17,60.263
4,4,4,0,0,1,0,0,13.308,29,45.888
10,8,4,1,0,1,1,1,21.855,33,66.226
3,0,4,0,0,3,1,1,8.21,21,39.094
2,4,10,0,3,2,2,2,24.333,53,45.911
9,2,1,1,1,2,4,5,10.981,36,30.503
2,2,4,1,1,1,1,1,10.16,22,46.181
8,5,6,0,1,1,0,0,18.71,29,64.519
0,0,0,0,0,0,0,0,0.0,4,0.0
0,1,2,0,0,0,0,0,4.54,5,90.801
1,0,6,0,1,0,0,0,9.598,24,39.992
6,0,9,0,2,0,3,4,17.248,37,46.617
1,5,4,0,2,0,0,0,13.62,19,71.683
0,0,1,0,0,0,0,0,1.557,7,22.236
2,5,7,0,0,0,0,0,18.548,19,97.622
3,2,1,0,0,1,1,4,5.749,22,26.132
0,2,6,0,0,0,0,0,12.193,11,100.0
3,0,3,0,0,2,0,0,5.753,9,63.928
0,0,1,0,1,0,0,0,1.557,6,25.942
3,3,0,0,1,2,0,0,5.559,15,37.063
3,2,4,0,2,0,0,0,9.857,28,35.202
1,3,3,0,1,0,0,0,9.209,12,76.744
0,3,2,0,1,2,0,0,7.691,32,24.036
2,4,3,0,0,0,0,0,10.895,12,90.792
3,1,1,0,0,0,0,0,3.76,9,41.778
6,5,8,2,3,2,1,1,22.387,33,67.839
7,6,2,1,1,1,0,0,13.983,32,43.697
5,1,6,0,1,3,1,1,12.766,35,36.474
1,2,4,0,1,0,0,0,9.339,29,32.203
9,5,4,1,1,2,4,6,19.421,39,49.796
1,1,0,0,0,0,0,0,1.686,11,15.325
2,1,4,0,1,1,0,0,8.879,17,52.229
8,0,5,0,0,1,1,2,10.416,24,43.398
4,4,7,1,1,0,0,0,17.639,31,56.9
1,0,1,0,0,0,1,2,2.377,8,29.718
7,3,4,0,1,0,2,3,13.443,23,58.448
10,13,5,0,1,0,4,5,31.17,43,72.488
0,0,0,0,0,0,0,0,0.0,4,0.0
6,6,12,0,2,0,3,5,30.479,31,98.321
1,3,3,0,1,2,0,0,10.342,14,73.872
4,3,4,0,0,1,0,0,12.101,13,93.088
0,2,5,0,1,0,0,0,10.637,12,88.638
7,8,9,0,0,4,4,6,30.689,46,66.715
3,8,5,1,0,1,0,0,20.497,22,93.169
4,0,1,0,0,1,0,0,2.885,4,72.136
1,4,0,0,0,1,0,0,6.097,14,43.548
1,2,1,0,0,0,0,0,4.669,14,33.352
4,11,4,0,0,1,0,0,23.453,33,71.069
2,1,5,2,0,0,1,1,10.289,13,79.15
1,0,1,0,1,3,1,1,4.829,11,43.898
3,4,2,0,1,1,1,1,11.069,13,85.146
4,1,4,0,0,2,0,0,9.7,23,42.172
3,2,2,0,0,2,0,0,9.456,12,78.804
5,4,6,0,1,0,1,1,16.903,35,48.295
0,2,1,1,0,0,0,0,4.41,12,36.754
7,4,2,0,0,1,4,5,13.249,24,55.206
0,0,1,0,0,0,0,0,1.557,4,38.914
2,3,4,0,0,0,1,1,11.587,15,77.245
1,0,1,0,0,1,0,0,2.122,7,30.317
3,0,3,0,1,1,0,0,5.639,22,25.633
2,19,8,2,0,2,2,3,41.573,60,69.289
2,5,6,0,1,1,0,0,17.671,33,53.549
9,5,2,2,1,0,3,3,14.264,22,64.835
2,5,11,0,1,1,2,2,25.975,39,66.603
